year¡@¡@,Age0_4,Age5_9,Age10_14,Age15_19,Age20_24,Age25_29,Age30_34,Age35_39,Age40_44,Age45_49,Age50_54,Age55_59,Age60_64,Age65_69,Age70_74,Age75_79,Age80_84
81,1543,315,420,1240,1380,1711,2021,2371,2614,2463,3514,4667,7447,8843,9129,8354,5845
82,1400,310,454,1373,1403,1722,2047,2456,2892,2575,3532,4561,7111,9106,9200,8511,6123
83,1454,293,395,1402,1310,1570,2124,2564,3129,2750,3554,4710,6836,9606,9566,8510,6829
84,1675,281,404,1292,1419,1597,2005,2670,3129,3028,3551,4660,6826,9767,10480,9197,7459
85,1650,250,327,1269,1260,1492,2127,2596,3333,3344,3468,4926,6534,9617,10820,9630,7737
86,1608,221,261,1150,1101,1486,2038,2743,3418,3568,3507,4709,6145,9397,10943,9700,7599
87,1578,215,286,1074,1184,1343,1917,2762,3517,3813,3374,4780,6025,9099,11130,10458,7930
88,1507,259,293,995,1101,1287,1857,2715,3496,4074,3603,4691,6102,8735,11564,10941,8151
89,1415,192,205,904,1136,1184,1775,2594,3522,4297,3821,4532,5977,8216,11619,11303,8271
90,1293,194,206,748,1034,1124,1673,2593,3446,4269,4310,4395,6046,8078,11711,11806,8944
91,1062,153,167,642,976,1203,1590,2448,3363,4287,4608,4193,5983,7560,11320,12191,9507
92,893,197,170,566,934,1150,1638,2416,3479,4345,4991,4205,5977,7499,10914,12708,9915
93,933,136,154,638,907,1189,1620,2468,3563,4555,5289,4598,5936,7390,10708,13472,10715
94,841,146,178,570,913,1407,1694,2550,3749,4750,5540,5069,6017,7540,10200,14010,11630
95,779,138,185,552,819,1257,1678,2546,3777,4773,5793,5520,5328,7295,9502,13174,11616
96,763,120,148,462,723,1094,1520,2346,3644,4732,5652,6002,5298,7509,9333,13371,12312
97,703,109,133,458,648,992,1504,2272,3545,4797,5740,6409,5484,7358,9403,12985,13230
98,585,147,160,423,589,987,1466,2227,3335,4625,5777,6613,5616,7133,9136,12171,13615
99,544,104,135,436,548,915,1381,1956,3205,4595,5718,6896,5978,6976,8812,11773,14269
100,604,86,133,415,607,837,1427,2116,3338,4778,5894,7128,6906,6825,9270,11903,14803
101,630,82,124,406,528,738,1370,2044,3175,4650,5810,7001,7364,6693,9231,11300,14826
102,534,77,119,386,507,639,1209,1925,2872,4451,6013,7095,7969,6673,9184,10883,14308
103,550,82,110,356,514,596,1199,2064,2873,4508,6082,7219,8435,7256,9422,11231,14116
104,601,60,93,380,509,596,1070,1974,2780,4358,5940,7401,8779,7762,8886,11381,13516
